"Date","Day","Start","End","Title","Kind","Prong","Catalog class","Price","Seats","Full gross","Status","Scenario note","Notes"
"Tue Nov 3","Tue","6:00 PM","8:30 PM","Nerd Night · board games & TTRPG","Club","Members","","","","","Planned","Wed–Sun: volunteer host","1st Tuesday"
"Wed Nov 4","Wed","10:00 AM","12:00 PM","Homeschool STEAM Lab · wk 1: shop safety, measuring & hand tools","Class","Classes","Homeschool STEAM Lab","$50","8","$400","Planned","",""
"Wed Nov 4","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Wed Nov 4","Wed","5:00 PM","7:00 PM","DB Pride Happy Hour @ Tin Room — announce Queer Craft Night","Area event","","","","","","Planned","",""
"Wed Nov 4","Wed","6:00 PM","8:30 PM","Community Make Night","Club","Members","Community Make Night","$10","15","$150","Planned","",""
"Thu Nov 5","Thu","10:00 AM","4:00 PM","Burien Winter Market, Town Square (every Thursday)","Area event","","","","","","Planned","","Thursday = catio / late-start day"
"Fri Nov 6","Fri","","","Día de los Muertos (City of Burien)","Area event","","","","","","Planned","",""
"Fri Nov 6","Fri","10:00 AM","12:00 PM","Sewing Basics: Bowl Cozy (daytime)","Class","Classes","Sewing Basics: Bowl Cozy","$45","8","$360","Planned","",""
"Fri Nov 6","Fri","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Fri Nov 6","Fri","6:00 PM","8:00 PM","Sewing Basics: Bowl Cozy","Class","Classes","Sewing Basics: Bowl Cozy","$45","8","$360","Planned","",""
"Sat Nov 7","Sat","10:00 AM","11:30 AM","Laser 101 orientation","Class","Members","Laser 101 / 3D Printing 101","$25","6","$150","Planned","Mon–Fri: Wed Nov 11 5–6:30",""
"Sat Nov 7","Sat","1:00 PM","3:00 PM","Stained Glass Ornaments","Class","Classes","Stained Glass Ornaments","$60","8","$480","Planned","Mon–Fri: Mon Nov 9 6–9 · Wed–Sun: Sun Nov 8 1–4",""
"Tue Nov 10","Tue","6:00 PM","8:30 PM","Junk Journaling","Club","Members","","","","","Planned","Wed–Sun: volunteer host","2nd Tuesday"
"Wed Nov 11","Wed","10:00 AM","12:00 PM","Homeschool STEAM Lab · wk 2: laser cutter","Class","Classes","Homeschool STEAM Lab","$50","8","$400","Planned","","Veterans Day — public schools closed"
"Wed Nov 11","Wed","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Wed Nov 11","Wed","6:00 PM","8:30 PM","Community Make Night","Club","Members","Community Make Night","$10","15","$150","Planned","",""
"Thu Nov 12","Thu","10:00 AM","4:00 PM","Winter Market · Winter Lights at Town Square begin (2025 pattern)","Area event","","","","","","Planned","",""
"Fri Nov 13","Fri","1:00 PM","5:00 PM","Open shop","Open shop","Members","","","","","Planned","",""
"Fri Nov 13","Fri","1:00 PM","4:00 PM","Corporate hold · team build, up to 12","Corporate hold","Corporate","Corporate Team Build","$1,000","1","$1,000","Planned","","Reverts to open shop if unsold 2 weeks out"
"Fri Nov 13","Fri","4:00 PM","5:30 PM","3D Printing 101 orientation","Class","Members","Laser 101 / 3D Printing 101","$25","6","$150","Planned","",""
"Fri Nov 13","Fri","6:00 PM","9:00 PM","Sew a Large Stocking","Class","Classes","Sew a Large Stocking","$65","8","$520","Planned","",""
"Sat Nov 14","Sat","10:00 AM","12:30 PM","Stained Glass Scene · day 1 of 2","Class","Classes","Stained Glass Scene","$70","6","$420","Planned","Mon–Fri: Mon Nov 16 6–9","Counted once (day 1); day 2 seats = 0"
"Sat Nov 14","Sat","2:00 PM","5:00 PM","Cutting Board A · day 1 of 2 (glue-up)","Class","Classes","Cutting Board (2-day)","$95","4","$380","Planned","Mon–Fri: Mon Nov 30 6–9","Counted once (day 1)"
