"Class","Prong","Format","Price","Member price","Length (hrs)","Max seats","Materials $/seat","Margin $/seat","# Runs scheduled","Seats offered","Full-capacity gross","Notes"
"Sewing Basics: Bowl Cozy","Classes","Adult class","$45","$45","2","8","$5","$40","4","32","$1,440","Batting only; fabric on hand. Ages 12+."
"Sew a Large Stocking","Classes","Adult class","$65","$65","3","8","-","$65","3","24","$1,560","All materials on hand. Lined with cuff."
"Stained Glass Ornaments","Classes","Adult class","$60","$60","2","8","$4","$56","4","32","$1,920","Glass pre-cut in October; foil/solder only. Ages 16+."
"Stained Glass Scene","Classes","Adult class (2-day)","$70","$70","5","6","$6","$64","1","6","$420","Two 2.5-hr sessions; glass pre-cut. 8–10 piece panel."
"Cutting Board (2-day)","Classes","Adult class (2-day)","$95","$95","6","4","$25","$70","2","8","$760","Hardwood is the real cost — set from actual lumber price. Max 4."
"Laser 101 / 3D Printing 101","Members","Orientation","$25","-","1.5","6","-","$25","2","12","$300","Unlocks machine for members; repeats monthly."
"Homeschool STEAM Lab","Classes","Youth block (6 wks)","$50","$40","2","8","$6","$44","6","48","$2,400","$50/kid/week; $270 for the block. Ages 9–14. Wednesdays 10–12."
"Winter Break Make Days","Classes","Youth day","$50","$40","3","10","$6","$44","4","40","$2,000","Ages 8–14; Highline schools out Dec 21–Jan 1."
"Kids' Ornament & Gift-Tag Drop-in","Classes","Youth drop-in","$20","$15","0.4","20","$2","$18","1","20","$400","20-min sessions, 8 kids at a time; seats = kids through the door in 3 hrs."
"Last-Minute Gifts Laser Night","Classes","Adult class","$35","$30","2.5","10","$3","$32","1","10","$350","Pre-cut blanks; highest margin on the menu."
"Make Night: Design Your Cookie Cutter","Members","Themed make night","$10","-","2","12","$1","$9","1","12","$120","Cap 12 designs; printed Dec 3–4; pickup at Cookie Crawl."
"Community Make Night","Members","Open studio","$10","-","2.5","15","-","$10","5","75","$750","Weekly Wednesdays; free for members."
"Corporate Team Build","Corporate","Private event","$1,000","$1,000","3","1","$150","$850","4","4","$4,000","Flat rate up to 12 people (~$83/head). One collaborative piece: stained glass lobby window, layered laser wall map/logo, or engraved plank sign. Seats=1 booking; materials = per booking."
"Gift-Card Redemption Open Shop","Members","Open shop","-","-","4","15","-","-","1","15","-","Sat Dec 26; sells January seats."
"TOTAL","","","","","","","","","39","338","$16,420","Corporate row counts holds on the calendar, not sold events — see Revenue sheet."
"Legend: blue = input you can change (prices, seats, materials); black = formula. Prices are placeholders from the Sept 4 planning session — confirm with Debra.","","","","","","","","","","","",""
